PM2.5,PM10,NO,NO2,NOx,CO,AQI_Bucket
81.4,124.5,1.44,20.5,12.08,0.12,Moderate
78.32,129.06,1.26,26,14.85,0.14,Moderate
88.76,135.32,6.6,30.85,21.77,0.11,Moderate
64.18,104.09,2.56,28.07,17.01,0.09,Moderate
72.47,114.84,5.23,23.2,16.59,0.16,Moderate
69.8,114.86,4.69,20.17,14.54,0.12,Moderate
73.96,113.56,4.58,19.29,13.97,0.1,Moderate
89.9,140.2,7.71,26.19,19.87,0.1,Moderate
87.14,130.52,0.97,21.31,12.12,0.15,Poor
84.64,125.0,4.02,26.98,17.58,0.18,Moderate
88.36,121.77,3.7,20.23,13.75,0.12,Moderate
96.83,139.36,1.6,25.65,14.99,0.11,Poor
117.46,181.64,4.26,41.1,25.32,0.13,Poor
122.88,208.86,5.56,54.87,33.71,0.27,Very Poor
74.28,141.22,6.1,44.97,28.88,0.09,Moderate
50.32,102.77,1.73,33.85,19.41,0.1,Moderate
58.47,115.27,4.93,41.64,26.15,0.16,Moderate
89.35,131.48,7.97,42.1,28.88,0.24,Moderate
64.42,99.74,7.2,34.78,24.36,0.15,Moderate
69.4,98.94,5.81,29.97,20.67,0.14,Moderate
71.07,109.65,4.19,25,16.7,0.1,Moderate
79.76,129.81,8.77,40.92,28.84,0.17,Moderate
108.06,167.62,7.29,47.05,30.94,0.08,Poor
100.75,172.04,7.63,53.94,33.45,0.11,Poor
106.25,171.56,2.74,43.09,21.78,0.13,Poor
83.79,141.83,6.77,47.47,30.74,0.3,Poor
79.98,147.74,7.02,49.55,32.07,0.14,Moderate
76.27,152.59,7.51,56,35.9,0.15,Moderate
86.5,147.95,5.24,42,26.6,0.15,Moderate
100.62,167.75,3.75,47.68,28.41,0.22,Poor
110.73,171.47,1.69,31.06,17.89,0.1,Poor
107.7,170.21,4.97,43.54,27.2,0.17,Poor
104.81,192.2,9.59,63.48,41.57,0.23,Poor
89.95,175.16,10.95,64.53,43.23,0.27,Poor
74.58,138.6,6.14,46.65,29.81,0.17,Moderate
56.68,109.33,4.6,33.26,21.44,0.1,Moderate
61.03,131.62,5.51,39.5,25.49,0.08,Moderate
59.03,108.83,3.45,23.36,15.23,0.09,Moderate
61.88,109.82,3.87,23.14,15.45,0.09,Moderate
71.57,137.48,5.01,39.99,25.36,0.09,Moderate
92.44,174.75,5.84,53.79,33.36,0.11,Moderate
92.9,162.69,6.38,56.39,35.19,0.08,Poor
85.15,151.97,11.05,61.55,41.72,0.07,Poor
81.47,145.68,6.45,46.9,30.18,0.07,Poor
81.58,132.66,3.97,34.93,21.81,0.09,Poor
79.56,146.64,4.44,37.58,23.6,0.05,Poor
87.43,155.95,3.9,37.31,23.02,0.1,Poor
87.33,153.97,3.95,42.52,25.82,0.08,Poor
110.39,182.54,4.54,52.24,31.49,0.04,Poor
77.51,125.01,3.85,36.41,22.49,0.05,Poor
86.96,129.99,3.65,28.32,18.03,0.05,Moderate
76.29,115.53,2.96,21.35,13.75,0.05,Moderate
67.06,100.34,3.22,20.25,13.29,0.06,Moderate
68.34,104.45,3.71,26.26,16.99,0.06,Moderate
66.28,117.3,7.36,45.13,29.99,0.05,Moderate
64.98,116.14,6.98,45.4,29.83,0.06,Moderate
75.46,132.84,9.56,56.53,37.84,0.13,Moderate
81.58,141.85,4.99,38.15,24.35,0.05,Moderate
78.27,142.86,5.98,45.36,29.01,0.06,Moderate
79.01,138.14,6.16,45.43,29.17,0.06,Moderate
77.98,137.31,5.09,44.96,28.04,0.06,Moderate
77.96,155.73,8.4,59.92,38.7,0.06,Moderate
79.04,143.38,6.19,43.61,28.23,0.08,Moderate
77.78,131.14,6.1,43.84,28.33,0.09,Moderate
76.48,131.86,4.06,33.37,21.04,0.06,Moderate
74.2,135.97,4.3,35.82,22.55,0.07,Moderate
78.23,140.66,5.36,45.76,28.7,0.05,Moderate
68.53,147.48,8.28,61.52,39.46,0.04,Moderate
62.08,152.59,10.08,62.18,41.29,0.05,Moderate
50.64,130.36,6.48,45.52,29.49,0.07,Moderate
44.21,119.52,3.63,34.37,21.23,0.07,Moderate
50.71,115.65,7.91,35.16,25.13,0.06,Moderate
42.27,100.54,4.95,30.69,20.33,0.66,Moderate
39.41,101.1,3.21,28.53,17.83,0.81,Moderate
50.54,120.05,2.91,26.96,16.74,0.9,Moderate
70.26,112.29,0.4,11.87,6.57,0.62,Moderate
59.47,99.73,0.54,12.85,7.18,0.68,Moderate
58.71,99.04,0.41,13.88,7.62,0.86,Moderate
56.29,107.96,0.25,16.71,9.02,0.95,Moderate
50.41,118.62,1.68,25.6,15.01,0.69,Moderate
57.53,128.81,1.94,25.03,14.88,0.78,Moderate
43.82,97.19,1.45,16.01,9.45,0.67,Moderate
32.21,107.43,7.39,17.33,15.32,0.6,Moderate
35.36,107.25,6.13,17.75,14.52,0.85,Moderate
59.65,127.26,8.21,19.14,16.94,0.7,Moderate
39.52,113.31,19.35,21.18,27,0.81,Moderate
43.08,116.06,5.34,19.02,14.54,0.79,Moderate
58.31,124.64,11.93,28.85,25.14,1.03,Moderate
